N,radius,length,orientation,force,velocity,theory_velocity,numerical_mobility,theoretical_mobility,relative_error,angular_velocity,Re,dt
642,1.0,2.0,transverse,0.01,0.00042644771347176815,0.0004331648895742646,0.04264477134717681,0.04331648895742646,1.5507203524963498,6.643701648090045e-07,0.0008528954269435363,deterministic_mobility
642,1.0,2.0,axial,0.02,0.0008611998064695566,0.0008663297791485292,0.04305999032347783,0.04331648895742646,0.5921501029336196,7.077304784194126e-07,0.0017223996129391132,deterministic_mobility
642,1.0,2.0,transverse,0.02,0.0008528954269435363,0.0008663297791485292,0.04264477134717681,0.04331648895742646,1.5507203524963498,1.328740329618009e-06,0.0017057908538870726,deterministic_mobility
642,1.0,2.0,axial,0.05,0.0021529995161738914,0.002165824447871323,0.04305999032347783,0.04331648895742646,0.592150102933627,1.7693261960485315e-06,0.004305999032347783,deterministic_mobility
642,1.0,2.0,transverse,0.05,0.0021322385673588407,0.002165824447871323,0.04264477134717681,0.04331648895742646,1.5507203524963546,3.321850824045022e-06,0.0042644771347176815,deterministic_mobility
642,1.0,2.0,axial,0.1,0.004305999032347783,0.004331648895742646,0.04305999032347783,0.04331648895742646,0.592150102933627,3.538652392097063e-06,0.008611998064695566,deterministic_mobility
642,1.0,2.0,transverse,0.1,0.0042644771347176815,0.004331648895742646,0.04264477134717681,0.04331648895742646,1.5507203524963546,6.643701648090044e-06,0.008528954269435363,deterministic_mobility
642,1.0,2.0,axial,0.2,0.008611998064695566,0.008663297791485293,0.04305999032347783,0.04331648895742646,0.592150102933627,7.077304784194126e-06,0.01722399612939113,deterministic_mobility
642,1.0,2.0,transverse,0.2,0.008528954269435363,0.008663297791485293,0.04264477134717681,0.04331648895742646,1.5507203524963546,1.3287403296180089e-05,0.017057908538870726,deterministic_mobility
642,1.0,2.0,axial,0.5,0.021529995161738914,0.02165824447871323,0.04305999032347783,0.04331648895742646,0.5921501029336191,1.7693261960485315e-05,0.04305999032347783,deterministic_mobility
642,1.0,2.0,transverse,0.5,0.021322385673588407,0.02165824447871323,0.04264477134717681,0.04331648895742646,1.5507203524963467,3.321850824045022e-05,0.04264477134717681,deterministic_mobility
642,1.0,2.0,axial,1.0,0.04305999032347783,0.04331648895742646,0.04305999032347783,0.04331648895742646,0.5921501029336191,3.538652392097063e-05,0.08611998064695565,deterministic_mobility
