dt,step,time,x,y,z,Uz,U_mag,Omega_mag
0.05,67,3.35,-7.712803772266559e-05,0.00022962670995800393,-0.1403051087634843,-0.04188212343492799,0.041882185844575474,3.096979895756471e-05
0.05,68,3.4000000000000004,-7.827972180281016e-05,0.00023305349800426567,-0.1423992149352307,-0.04188212347655486,0.04188218588591186,3.0969738388071573e-05
0.05,69,3.45,-7.943142115673186e-05,0.00023648027204332034,-0.14449332110905844,-0.0418821235181809,0.04188218592724742,3.09696778187054e-05
0.05,70,3.5,-8.058313578439286e-05,0.0002399070320752145,-0.1465874272849675,-0.04188212355980608,0.04188218596858212,3.096961724946616e-05
0.05,71,3.5500000000000003,-8.17348656857553e-05,0.00024333377809999474,-0.1486815334629578,-0.04188212360143041,0.041882186009915987,3.096955668035387e-05
0.05,72,3.6,-8.288661086078136e-05,0.0002467605101177076,-0.1507756396430293,-0.0418821236430539,0.04188218605124901,3.096949611136855e-05
0.05,73,3.6500000000000004,-8.403837130943318e-05,0.00025018722812839976,-0.152869745825182,-0.04188212368467654,0.04188218609258119,3.096943554251017e-05
0.05,74,3.7,-8.519014703167293e-05,0.0002536139321321178,-0.15496385200941584,-0.041882123726298334,0.04188218613391253,3.096937497377874e-05
0.05,75,3.75,-8.634193802746277e-05,0.00025704062212890817,-0.15705795819573076,-0.04188212376791928,0.041882186175243016,3.096931440517426e-05
0.05,76,3.8000000000000003,-8.749374429676486e-05,0.00026046729811881757,-0.1591520643841267,-0.04188212380953939,0.041882186216572685,3.0969253836696746e-05
0.05,77,3.85,-8.864556583954135e-05,0.0002638939601018926,-0.1612461705746037,-0.041882123851158616,0.04188218625790147,3.096919326834616e-05
0.05,78,3.9000000000000004,-8.97974026557544e-05,0.0002673206080781798,-0.16334027676716162,-0.04188212389277701,0.041882186299229435,3.096913270012254e-05
0.05,79,3.95,-9.094925474536617e-05,0.0002707472420477258,-0.16543438296180046,-0.04188212393439454,0.041882186340556536,3.0969072132025865e-05
0.05,80,4.0,-9.210112210833883e-05,0.0002741738620105771,-0.1675284891585202,-0.04188212397601125,0.041882186381882826,3.096901156405614e-05
0.05,81,4.05,-9.325300474463452e-05,0.0002776004679667803,-0.16962259535732077,-0.04188212401762711,0.04188218642320826,3.0968950996213384e-05
0.05,82,4.1000000000000005,-9.440490265421541e-05,0.00028102705991638207,-0.17171670155820212,-0.04188212405924208,0.04188218646453283,3.096889042849754e-05
0.05,83,4.15,-9.555681583704366e-05,0.0002844536378594289,-0.17381080776116423,-0.041882124100856226,0.04188218650585657,3.0968829860908675e-05
0.05,84,4.2,-9.670874429308144e-05,0.00028788020179596743,-0.17590491396620703,-0.041882124142469536,0.04188218654717947,3.0968769293446774e-05
0.05,85,4.25,-9.78606880222909e-05,0.0002913067517260442,-0.1779990201733305,-0.04188212418408199,0.04188218658850153,3.096870872611182e-05
0.05,86,4.3,-9.90126470246342e-05,0.00029473328764970585,-0.1800931263825346,-0.04188212422569362,0.04188218662982277,3.0968648158903826e-05
0.05,87,4.3500000000000005,-0.0001001646213000735,0.00029815980956699893,-0.18218723259381928,-0.041882124267304366,0.04188218667114312,3.0968587591822765e-05
0.05,88,4.4,-0.00010131661084857095,0.00030158631747797003,-0.1842813388071845,-0.0418821243089143,0.041882186712462674,3.096852702486869e-05
0.05,89,4.45,-0.00010246861567008872,0.00030501281138266577,-0.1863754450226302,-0.04188212435052339,0.041882186753781386,3.096846645804157e-05
0.05,90,4.5,-0.00010362063576458896,0.0003084392912811327,-0.18846955124015638,-0.04188212439213162,0.04188218679509925,3.0968405891341404e-05
0.05,91,4.55,-0.00010477267113203385,0.0003118657571734174,-0.19056365745976295,-0.041882124433739,0.041882186836416264,3.096834532476819e-05
0.05,92,4.6000000000000005,-0.00010592472177238554,0.0003152922090595665,-0.1926577636814499,-0.04188212447534554,0.041882186877732444,3.096828475832192e-05
0.05,93,4.65,-0.00010707678768560618,0.0003187186469396265,-0.19475186990521717,-0.04188212451695124,0.041882186919047784,3.096822419200262e-05
0.05,94,4.7,-0.00010822886887165794,0.0003221450708136441,-0.19684597613106475,-0.041882124558556076,0.04188218696036227,3.096816362581027e-05
0.05,95,4.75,-0.00010938096533050298,0.0003255714806816658,-0.19894008235899255,-0.041882124600160095,0.041882187001675945,3.0968103059744894e-05
0.05,96,4.800000000000001,-0.00011053307706210345,0.0003289978765437382,-0.20103418858900055,-0.04188212464176326,0.041882187042988774,3.096804249380647e-05
0.05,97,4.8500000000000005,-0.00011168520406642153,0.00033242425839990786,-0.2031282948210887,-0.04188212468336558,0.041882187084300755,3.0967981927995006e-05
0.05,98,4.9,-0.00011283734634341936,0.00033585062625022144,-0.205222401055257,-0.04188212472496703,0.04188218712561188,3.096792136231047e-05
0.05,99,4.95,-0.00011398950389305911,0.0003392769800947255,-0.20731650729150533,-0.04188212476656763,0.04188218716692215,3.0967860796752905e-05
0.05,100,5.0,-0.00011514167671530294,0.0003427033199334666,-0.2094106135298337,-0.041882124808167394,0.0418821872082316,3.0967800231322304e-05
