step,time,x,y,z,Ux,Uy,Uz,U_mag,Omega_x,Omega_y,Omega_z,Omega_mag,q0,q1,q2,q3,normal_x,normal_y,normal_z,tilt_angle_deg
37,3.7,0.042152859251435026,-1.0063537866564864e-17,9.722092452725546,0.011392664662549944,-1.992627071046637e-17,-0.07511014868992871,0.07596925196641412,-2.6817155855677558e-18,1.8454605788000973e-08,-3.0386865276538796e-19,1.8454605788000973e-08,0.9238795194460826,8.433138475757758e-20,0.3826834639072814,4.2523101398773027e-19,0.7071068294692429,1.6963367633915356e-19,0.707106732903849,45.00000391227298
38,3.8000000000000003,0.04329212571769002,-1.1148419522025071e-17,9.71458143785445,0.011392664662549921,-9.376432723973263e-19,-0.07511014873197812,0.07596925200798799,-1.874623624866295e-19,1.8454605749671472e-08,6.834398423440344e-19,1.8454605749671472e-08,0.923879519092969,1.7560544118400017e-19,0.38268346475977305,4.228211354183841e-19,0.7071068307741805,-8.632269512285795e-22,0.7071067315989112,45.00000401801008
39,3.9000000000000004,0.04443139218394501,-1.0331638072953505e-17,9.70707042297915,0.0113926646625499,-8.210158219099026e-18,-0.07511014877402755,0.07596925204956191,-7.549598125327347e-18,1.845460571965109e-08,1.002252137037184e-18,1.845460571965109e-08,0.9238795187398553,4.1096108812473635e-19,0.3826834656122647,5.899541602532854e-19,0.7071068320791182,-3.0782565943877613e-19,0.7071067302939733,45.000004123747196
40,4.0,0.045570658650200005,-9.255644362964693e-18,9.699559408099645,0.011392664662549947,1.0769729285385822e-17,-0.07511014881607703,0.07596925209113586,3.2194725776423828e-18,1.8454605675737364e-08,-6.251408436043769e-19,1.8454605675737364e-08,0.9238795183867416,5.310728592690777e-19,0.3826834664647563,6.013078839087538e-19,0.7071068333840558,-5.210735040459924e-19,0.7071067289890354,45.00000422948431
41,4.1000000000000005,0.046709925116455,-7.448371023268069e-18,9.692048393215936,0.0113926646625499,8.249935657856618e-18,-0.07511014885812638,0.07596925213270969,2.77121799093542e-18,1.8454605656481724e-08,-1.5582781341081989e-19,1.8454605656481724e-08,0.9238795180336281,4.197200379124669e-19,0.382683467317248,4.682999132619641e-19,0.7071068346889935,-4.171202235683423e-19,0.7071067276840979,45.00000433522139
42,4.2,0.047849191582709984,-9.980670502442763e-18,9.68453737832802,0.011392664662549904,8.157854155736018e-18,-0.07511014890017585,0.07596925217428364,6.199168330299881e-18,1.8454605615380655e-08,2.357918572758988e-18,1.8454605615380655e-08,0.9238795176805145,5.0909166691696265e-19,0.38268346816973964,5.273673302530835e-19,0.7071068359939311,-5.370492094914923e-19,0.7071067263791602,45.000004440958485
43,4.3,0.048988458048964977,-1.1971184932063491e-17,9.6770263634359,0.011392664662549904,1.9833843264021085e-17,-0.07511014894222524,0.07596925221585753,-5.192565490108607e-18,1.8454605581108123e-08,-2.6930848171187025e-18,1.8454605581108123e-08,0.9238795173274008,5.334830489890338e-19,0.38268346902223127,5.559108531231908e-19,0.7071068372988687,-5.602723361240961e-19,0.7071067250742222,45.0000045466956
44,4.4,0.05012772451521997,-9.98560643701146e-18,9.669515348539575,0.011392664662549887,-2.7217317938816532e-17,-0.07511014898427469,0.07596925225743145,-2.610359634885634e-18,1.8454605545382775e-08,-1.2203625541343498e-18,1.8454605545382775e-08,0.9238795169742872,6.401966815868073e-19,0.38268346987472285,6.455051694653531e-19,0.7071068386038062,-6.888808857597775e-19,0.7071067237692843,45.000004652432715
45,4.5,0.05126699098147496,-1.0611939171853891e-17,9.662004333639045,0.01139266466254985,8.142068165515497e-18,-0.0751101490263241,0.07596925229900534,1.353092274249563e-18,1.8454605513264146e-08,-1.3765568867775915e-18,1.8454605513264146e-08,0.9238795166211735,5.704570066678855e-19,0.3826834707272144,5.609283895433118e-19,0.7071068399087438,-6.247510412672522e-19,0.7071067224643464,45.00000475816983
46,4.6000000000000005,0.05240625744772995,-1.0522414175984522e-17,9.65449331873431,0.011392664662549866,1.9895746714898087e-17,-0.07511014906837354,0.07596925234057926,-2.3910243568637635e-18,1.8454605475129697e-08,1.2836164315143303e-18,1.8454605475129697e-08,0.9238795162680599,7.73628468132076e-19,0.382683471579706,5.419260233323837e-19,0.7071068412136813,-1.0147067259216822e-18,0.7071067211594086,45.00000486390692
